Well Name,Easting,Northing,MD,TVD,Azimuth,Inclination,Deviation-DownDip,Deviation-UpDip,Deviation-NoDip,Porosity%,Gross Thickness(ft),NTG,Sw(%),TOC %,Comp-Perforated Lateral (ft),Comp-Stimulated Lateral Length (ft),Comp-Clusters per Stage,Comp-Shot Density (shots-ft),Comp-Avg Stage Length(ft),Comp-Number of Stages,Stim-Avg. Tr. Pressure (psi),Stim-Avg. Tr. Rate (bbl-min),Stim-Fluid volume per Stage (bbl),Stim-clean volume per Stage (bbl),Stim-Slurry volume per Stage (bbl),Stim-Maximum propant Conc-(lb-gal),Stim-Proppant per stage(lb),30 Day Cum Gas (MCF),30 Day Cum Condensate (bbls),90 Day Cum Gas (MCF),90 Day Cum Condensate (bbls),120 Day Cum Gas (MCF),120 Day Cum Condensate (bbls),180 Day -Cum Gas (MCF),180 Day -Cum Condensate (bbls)
ISI-090,1661334.124,15954703.53,9057,6442.2,297.7,91.2,0,1,0,8.3,154,0.88,12.9,2.6,2002,2102,5,4,286,7,6575,69.8,24464,13761,10703,3,505726,56283,1718,101306,4032.21,117483,4783.09,145826,6158.06
ISI-091,1660699.647,15953819.24,10012,6451.1,296,91.4,0,1,0,8.7,153,0.85,13.7,2.5,2852,2952,5,4,285.2,10,6360,70.4,24330,13699,10631,3,502105,47641,1738,107225,4051.32,126900,4802.2,152981,6177.17
ISI-092,1636288.337,15931359.15,8722,6249.5,306.7,89.9,0,1,0,9.3,130,0.82,10.2,2.8,2127,2227,4,6,425.4,5,7200,94.6,37371,21202,16170,2,480271,26598,341,72858,2030.58,94406,3727.4,135907,6798.36
ISI-093,1688414.586,15882211.39,11342,7412.3,349.8,91.4,0,1,0,8.3,217,0.75,11.9,2.8,2302,2402,5,4,287.8,8,7131,68.6,24533,13800,10733,3,505391,63995,0,237640,0,323060,1.49,455013,1.49
ISI-094,1685990.653,15882251.36,10584,7386.6,344.2,91.9,0,1,0,8.3,217,0.75,11.9,2.8,2602,2702,4.6,4,289.1,9,6823,65.7,23976,13483,10494,3,496086,63311,0,176792,1.46,243429,1.49,359543,1.49
ISI-095,1685730.455,15881980.18,10140,7394.3,344.8,90.9,0,1,0,8.2,217,0.73,12,2.8,1702,1802,5,4,283.7,6,7101,65,24937,14029,10908,3,503523,39040,0,146534,0,218560,0,289466,1.49
ISI-096,1687188.622,15882174.02,10960,7393.4,337.2,92.3,0,1,0,8.3,217,0.75,11.9,2.8,2002,2102,4.7,4,286,7,6980,66.3,25103,14125,10978,3,504152,52001,0,145339,1.49,199809,1.49,291980,1.49
ISI-097,1667225.096,15925530.86,9372,6558.6,328.21,90.65,0,1,0,9.2,153,0.91,10.6,2.4,2131,2231,3.8,4,426.2,5,6529,67.3,34507,19583,14924,2,435813,60214,556,137438,1259.19,170495,1374.73,232582,1532.27
ISI-098,1654840.653,15928994.81,9535,6486.8,315.41,91.02,0,1,0,10.6,128,0.91,8.9,3,2148,2248,4,6,429.6,5,7142,98.6,44929,25552,19377,2,473111,44435,40,113561,726.46,149610,2025.04,216581,2414.81
ISI-099,1654527.26,15928382.13,10007,6502.1,339.8,90.7,0,1,0,10.6,129,0.93,9.5,3.2,2143,2243,3,4,267.9,8,7103,69.2,24188,13576,10611,4,548697,55274,886,144845,2802.02,181216,3723.06,247327,5286.74
